close_price,date,high_price,low_price,open_price,price_history_id,ticker_symbol,volume
73.9050,2024-11-26,74.1800,73.8300,73.9100,1749,AOS,181222
74.1100,2024-11-27,74.1800,74.0100,74.1050,1750,AOS,99862
74.5600,2024-11-29,74.6700,74.4700,74.5000,1751,AOS,53355
74.6500,2024-12-02,74.8600,74.5400,74.6800,1752,AOS,208012
74.0200,2024-12-03,74.0700,73.6800,73.8100,1753,AOS,254507
73.5900,2024-12-04,73.6200,73.2300,73.4400,1754,AOS,332780
72.3200,2024-12-05,72.3800,71.9800,72.3720,1755,AOS,276389
72.5700,2024-12-06,72.7200,72.5400,72.6600,1756,AOS,250762
73.8800,2024-12-09,74.1700,73.7900,74.0900,1757,AOS,340749
73.0000,2024-12-10,73.0100,72.6200,72.8500,1758,AOS,199560
72.8500,2024-12-11,73.0350,72.7000,72.8500,1759,AOS,212846
72.6200,2024-12-12,72.9200,72.4500,72.9000,1760,AOS,149857
72.4800,2024-12-13,72.5650,72.3600,72.4800,1761,AOS,195355
71.9000,2024-12-16,72.0250,71.8000,72.0250,1762,AOS,136959
70.8200,2024-12-17,71.0850,70.7600,71.0700,1763,AOS,210743
68.8900,2024-12-18,69.7400,68.8900,69.6300,1764,AOS,171369
68.4200,2024-12-19,68.8200,68.3800,68.7450,1765,AOS,267791
68.7200,2024-12-20,69.1100,68.6200,68.8900,1766,AOS,267862
68.5400,2024-12-23,68.6350,68.3650,68.4700,1767,AOS,102357
68.7000,2024-12-24,68.7400,68.5100,68.5800,1768,AOS,51032
68.8600,2024-12-26,69.0200,68.5800,68.6200,1769,AOS,149980
68.4600,2024-12-27,68.5600,68.2900,68.3700,1770,AOS,122162
68.0300,2024-12-30,68.2300,67.9300,68.0600,1771,AOS,157138
68.2100,2024-12-31,68.2300,68.0000,68.1400,1772,AOS,146610
67.3300,2025-01-02,67.5800,67.2900,67.4950,1773,AOS,197061
68.5900,2025-01-03,68.7600,68.4300,68.7350,1774,AOS,191098
68.9000,2025-01-06,68.9500,68.5850,68.7300,1775,AOS,236392
68.3100,2025-01-07,68.3200,67.9600,68.1550,1776,AOS,226745
68.6700,2025-01-08,68.7594,68.5100,68.6300,1777,AOS,173712
67.5800,2025-01-10,67.6200,67.2000,67.4150,1778,AOS,285544
68.6100,2025-01-13,68.7800,68.4899,68.5300,1779,AOS,200612
71.2600,2025-01-14,71.3500,71.1600,71.3500,1780,AOS,335903
70.9300,2025-01-15,71.2300,70.8950,71.1900,1781,AOS,368508
71.4100,2025-01-16,71.4700,71.0650,71.0900,1782,AOS,176591
71.8100,2025-01-17,71.9000,71.4200,71.5000,1783,AOS,294953
72.6900,2025-01-21,72.7800,72.5400,72.6300,1784,AOS,238902
70.9900,2025-01-22,71.2200,70.9300,71.0809,1785,AOS,257523
71.2700,2025-01-23,71.5000,71.2600,71.4300,1786,AOS,281739
70.5900,2025-01-24,70.6800,70.4100,70.4400,1787,AOS,249345
71.4400,2025-01-27,71.5900,71.2950,71.5900,1788,AOS,225726
69.9000,2025-01-28,70.0900,69.7600,69.9300,1789,AOS,290023
69.2200,2025-01-29,69.2500,68.9000,69.1500,1790,AOS,340973
67.2600,2025-01-30,67.4100,66.4750,67.1400,1791,AOS,897880
67.3000,2025-01-31,67.4500,67.1742,67.2100,1792,AOS,455448
67.0500,2025-02-03,67.1300,66.5500,66.5500,1793,AOS,402371
65.6600,2025-02-04,66.0200,65.6500,66.0100,1794,AOS,301131
65.6200,2025-02-05,65.7600,65.5450,65.5750,1795,AOS,272375
65.4900,2025-02-06,65.7500,65.4500,65.6600,1796,AOS,165539
65.1800,2025-02-07,65.4300,65.0500,65.2600,1797,AOS,170981
65.7200,2025-02-10,65.8600,65.6000,65.8450,1798,AOS,171492
65.9700,2025-02-11,66.0100,65.7500,65.7550,1799,AOS,139592
65.2500,2025-02-12,65.5200,65.2500,65.4800,1800,AOS,185092
66.0050,2025-02-13,66.0800,65.8800,66.0150,1801,AOS,285192
66.2400,2025-02-14,66.2500,65.9200,66.1500,1802,AOS,305213
65.7300,2025-02-18,65.8550,65.6132,65.6250,1803,AOS,275457
67.3700,2025-02-19,67.4500,67.1300,67.3100,1804,AOS,400516
66.8200,2025-02-20,67.0100,66.6500,66.7000,1805,AOS,291116
66.0000,2025-02-21,66.0550,65.8100,65.8800,1806,AOS,212399
66.2400,2025-02-24,66.3800,66.1000,66.1700,1807,AOS,178120
66.9800,2025-02-25,67.0100,66.5600,67.0000,1808,AOS,234931
66.1800,2025-02-26,66.5600,66.1000,66.5050,1809,AOS,208216
65.9400,2025-02-27,66.2100,65.8800,66.0800,1810,AOS,146585
66.4700,2025-02-28,66.4800,65.7300,65.9600,1811,AOS,279580
66.3700,2025-03-03,66.5300,66.1450,66.1600,1812,AOS,367004
65.6100,2025-03-04,66.5100,65.5500,66.5100,1813,AOS,276885
66.5000,2025-03-05,66.6800,66.2100,66.6800,1814,AOS,350572
68.2300,2025-03-06,68.3900,68.0300,68.2000,1815,AOS,341632
69.4100,2025-03-07,69.6400,69.2200,69.5900,1816,AOS,210723
69.6100,2025-03-10,70.0100,69.6100,69.8000,1817,AOS,280029
67.0900,2025-03-11,67.6200,67.0900,67.5300,1818,AOS,293526
65.6200,2025-03-12,66.0500,65.6200,65.9800,1819,AOS,217043
65.4700,2025-03-13,65.5900,65.3100,65.4500,1820,AOS,287142
66.8200,2025-03-14,66.9200,66.4901,66.6300,1821,AOS,243216
67.4900,2025-03-17,67.6290,67.4100,67.5600,1822,AOS,199194
67.6800,2025-03-18,67.7500,67.5700,67.6900,1823,AOS,209256
67.6100,2025-03-19,67.9050,67.5700,67.6700,1824,AOS,265835
66.7000,2025-03-20,66.8400,66.6000,66.6450,1825,AOS,228456
66.4700,2025-03-21,66.6200,66.2400,66.4050,1826,AOS,351752
66.3600,2025-03-24,66.5400,66.3000,66.5100,1827,AOS,282070
66.7200,2025-03-25,66.9300,66.2100,66.7200,1828,AOS,285893
67.3300,2025-03-26,67.3900,67.2100,67.2800,1829,AOS,174204
66.9200,2025-03-27,67.2300,66.8900,67.1300,1830,AOS,154366
65.6000,2025-03-28,65.9000,65.5700,65.8600,1831,AOS,158656
65.3700,2025-03-31,65.9200,65.2100,65.6550,1832,AOS,411251
65.5900,2025-04-01,65.6500,65.2600,65.3200,1833,AOS,397133
66.1200,2025-04-02,66.2500,65.8300,65.8600,1834,AOS,310842
63.6600,2025-04-03,63.9300,63.5800,63.8400,1835,AOS,307614
61.9800,2025-04-04,62.6300,61.8900,62.3500,1836,AOS,381221
60.6600,2025-04-07,60.9850,60.2300,60.2300,1837,AOS,377084
59.6300,2025-04-08,59.9800,59.1200,59.8500,1838,AOS,445799
62.5400,2025-04-09,62.8250,61.7000,62.2800,1839,AOS,555644
62.8600,2025-04-10,63.0400,62.1900,62.6100,1840,AOS,365862
64.5000,2025-04-11,64.7050,64.4300,64.5700,1841,AOS,348583
65.2100,2025-04-14,65.5000,65.0300,65.3900,1842,AOS,343728
63.8600,2025-04-15,64.0400,63.7200,64.0300,1843,AOS,509801
62.8500,2025-04-16,62.9500,62.4400,62.4650,1844,AOS,320161
63.1300,2025-04-17,63.3650,63.0200,63.1800,1845,AOS,300007
61.7100,2025-04-21,61.8100,61.3800,61.4350,1846,AOS,339162
63.9500,2025-04-22,64.0200,63.7400,63.9300,1847,AOS,361511
63.7600,2025-04-23,63.9500,63.6200,63.7600,1848,AOS,200246
65.2900,2025-04-24,65.5700,65.1900,65.3000,1849,AOS,275252
65.0000,2025-04-25,65.0700,64.6800,64.8700,1850,AOS,194487
64.8000,2025-04-28,65.0800,64.5000,64.5350,1851,AOS,493308
67.0000,2025-04-29,67.3100,66.8300,67.0900,1852,AOS,593387
67.8700,2025-04-30,68.2200,67.4700,67.4950,1853,AOS,345612
67.4100,2025-05-01,67.7900,67.3200,67.5500,1854,AOS,459397
68.4500,2025-05-02,68.7700,68.3900,68.5300,1855,AOS,214346
68.3800,2025-05-05,68.5700,68.3150,68.5300,1856,AOS,266043
67.4800,2025-05-06,67.6950,67.4500,67.6300,1857,AOS,268678
66.9100,2025-05-07,67.0950,66.7100,66.9500,1858,AOS,332484
67.9900,2025-05-08,68.5850,67.9300,68.4900,1859,AOS,244411
68.2800,2025-05-09,68.3300,68.1800,68.2500,1860,AOS,153893
70.4700,2025-05-12,70.4900,70.2100,70.2600,1861,AOS,231114
70.1100,2025-05-13,70.4500,70.0800,70.3700,1862,AOS,196316
68.3400,2025-05-14,68.6700,68.2900,68.6000,1863,AOS,271807
69.4300,2025-05-15,69.4800,69.1750,69.1950,1864,AOS,285748
70.5000,2025-05-16,70.5400,70.2600,70.3200,1865,AOS,366535
